Gene stable ID	Gene stable ID version	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name	Gene name
ENSG00000206813	ENSG00000206813.1	41747312	41747413	22	Y_RNA
ENSG00000207947	ENSG00000207947.3	48037161	48037247	17	MIR152
ENSG00000251804	ENSG00000251804.1	142407657	142407737	3	RNU6-1294P
ENSG00000276861	ENSG00000276861.1	89600571	89600680	2	5S_rRNA
ENSG00000207401	ENSG00000207401.1	110934406	110934507	9	Y_RNA
ENSG00000200966	ENSG00000200966.1	100581079	100581379	9	RN7SKP87
ENSG00000274662	ENSG00000274662.1	25101132	25101415	21	RN7SKP236
ENSG00000243951	ENSG00000243951.1	80776666	80776962	8	RN7SL308P
ENSG00000252412	ENSG00000252412.1	37013225	37013319	22	Y_RNA
ENSG00000277967	ENSG00000277967.1	49280485	49280571	20	AL049766.3
ENSG00000252854	ENSG00000252854.1	46249942	46250213	13	RN7SKP5
ENSG00000251791	ENSG00000251791.1	233288676	233288940	2	SCARNA6
ENSG00000273758	ENSG00000273758.1	6392921	6392983	19	MIR6790
ENSG00000201644	ENSG00000201644.2	75662120	75662213	4	Y_RNA
ENSG00000200817	ENSG00000200817.1	58026706	58026812	11	RNU6-899P
ENSG00000212289	ENSG00000212289.1	27521605	27521726	11	RNA5SP339
ENSG00000206954	ENSG00000206954.1	48088678	48088784	17	RNU6-1201P
ENSG00000201852	ENSG00000201852.1	22180112	22180218	18	RNU6-702P
ENSG00000239703	ENSG00000239703.3	56029684	56029981	15	RN7SL568P
ENSG00000207119	ENSG00000207119.2	69457941	69458149	15	U3
ENSG00000206806	ENSG00000206806.1	40351564	40351672	11	Y_RNA
ENSG00000252369	ENSG00000252369.1	83048579	83048640	14	RNU7-51P
ENSG00000264266	ENSG00000264266.1	10230413	10230485	19	MIR4322
ENSG00000242559	ENSG00000242559.3	41683168	41683462	X	RN7SL144P
ENSG00000201573	ENSG00000201573.1	50468397	50468498	14	Y_RNA
ENSG00000206605	ENSG00000206605.1	26790540	26790646	10	RNU6-946P
ENSG00000251805	ENSG00000251805.1	24273614	24273741	2	AC009228.2
ENSG00000201050	ENSG00000201050.1	164787290	164787396	4	RNU6-668P
ENSG00000202351	ENSG00000202351.1	13547704	13548013	6	RN7SKP204
ENSG00000252163	ENSG00000252163.1	138397351	138397628	X	RN7SKP31
ENSG00000242989	ENSG00000242989.3	15112968	15113221	6	RN7SL332P
ENSG00000275711	ENSG00000275711.1	15179283	15179350	19	MIR6795
ENSG00000221060	ENSG00000221060.1	69804203	69804331	14	AL157789.1
ENSG00000212432	ENSG00000212432.1	9445058	9445205	12	SNORA75
ENSG00000206970	ENSG00000206970.1	203782037	203782143	2	RNU6-474P
ENSG00000277004	ENSG00000277004.1	35746772	35746894	16	RNA5SP412
ENSG00000206688	ENSG00000206688.1	25085385	25085476	15	SNORD116-18
ENSG00000206907	ENSG00000206907.1	111839828	111839934	9	RNU6-1013P
ENSG00000200034	ENSG00000200034.1	9740643	9740783	2	RNU4-73P
ENSG00000274836	ENSG00000274836.1	17676211	17676371	17	AC020558.4
ENSG00000283455	ENSG00000283455.1	53698385	53698471	19	MIR523
ENSG00000212556	ENSG00000212556.1	127202372	127202473	3	Y_RNA
ENSG00000201085	ENSG00000201085.1	188121531	188121634	4	RNU6-173P
ENSG00000200089	ENSG00000200089.1	100993236	100993310	14	SNORD114-31
ENSG00000274420	ENSG00000274420.1	47818005	47818128	3	AC026318.1
ENSG00000222617	ENSG00000222617.1	96486582	96486891	15	RN7SKP254
ENSG00000207263	ENSG00000207263.1	25082768	25082859	15	SNORD116-16
ENSG00000251812	ENSG00000251812.1	4186326	4186424	17	Y_RNA
ENSG00000264352	ENSG00000264352.2	34809233	34809556	2	RN7SL602P
ENSG00000200058	ENSG00000200058.1	134257035	134257143	6	RNA5SP218
ENSG00000200719	ENSG00000200719.1	29048494	29048604	8	RNA5SP260
ENSG00000239002	ENSG00000239002.3	6510222	6510551	12	SCARNA10
ENSG00000274772	ENSG00000274772.1	144683169	144683464	8	Metazoa_SRP
ENSG00000284173	ENSG00000284173.1	218280125	218280188	2	MIR6513
ENSG00000280249	ENSG00000280249.1	134799782	134799945	X	AL691477.1
ENSG00000222973	ENSG00000222973.1	2162763	2162953	9	RNU2-25P
ENSG00000238754	ENSG00000238754.1	193057281	193057415	1	SCARNA18B
ENSG00000207342	ENSG00000207342.1	88840165	88840263	14	Y_RNA
ENSG00000212414	ENSG00000212414.1	100004583	100004649	8	SNORD77B
ENSG00000252162	ENSG00000252162.1	55398514	55398620	1	RNU6-830P
ENSG00000199635	ENSG00000199635.1	21160235	21160336	9	Y_RNA
ENSG00000222146	ENSG00000222146.1	112148742	112148825	8	RNU4-37P
ENSG00000201104	ENSG00000201104.1	123790605	123790711	7	RNU6-11P
ENSG00000200829	ENSG00000200829.1	20480844	20480955	2	Y_RNA
ENSG00000277762	ENSG00000277762.1	147689256	147689537	1	RN7SL261P
ENSG00000212521	ENSG00000212521.1	98032230	98032335	9	RNU6-918P
ENSG00000199024	ENSG00000199024.1	3917494	3917571	20	MIR103A2
ENSG00000240186	ENSG00000240186.3	31059989	31060285	22	RN7SL633P
ENSG00000242769	ENSG00000242769.3	114697627	114697924	1	RN7SL432P
ENSG00000212588	ENSG00000212588.1	52713249	52713370	4	SNORA26
ENSG00000252868	ENSG00000252868.1	29233868	29233979	15	AC061965.1
ENSG00000252872	ENSG00000252872.1	96377857	96377920	7	RNU7-188P
ENSG00000202268	ENSG00000202268.2	45255409	45255620	3	U3
ENSG00000273904	ENSG00000273904.1	114168156	114168280	10	AC022023.1
ENSG00000206726	ENSG00000206726.1	124989219	124989325	2	RNU6-259P
ENSG00000212228	ENSG00000212228.1	11274113	11274236	16	AC009121.1
ENSG00000252242	ENSG00000252242.1	64825765	64825819	17	RNU7-115P
ENSG00000266211	ENSG00000266211.1	13406384	13406460	21	MIR3156-3
ENSG00000212259	ENSG00000212259.1	95521369	95521475	5	RNU6-308P
ENSG00000223265	ENSG00000223265.1	122579205	122579307	11	RNU6-592P
ENSG00000261709	ENSG00000261709.3	45214906	45215033	15	AC051619.9
ENSG00000238503	ENSG00000238503.1	12030303	12030372	2	SNORD18
ENSG00000206836	ENSG00000206836.1	197447745	197447851	2	RNU6-1029P
ENSG00000277563	ENSG00000277563.1	24255246	24255333	10	AC063961.1
ENSG00000275559	ENSG00000275559.1	50081843	50081978	13	AL137060.5
ENSG00000240936	ENSG00000240936.3	6938606	6938897	6	RN7SL554P
ENSG00000278502	ENSG00000278502.1	171186184	171186292	4	MIR6082
ENSG00000242889	ENSG00000242889.3	57618108	57618393	17	RN7SL449P
ENSG00000222783	ENSG00000222783.1	130811768	130812095	3	RN7SKP212
ENSG00000242182	ENSG00000242182.3	23004564	23004862	18	RN7SL745P
ENSG00000223169	ENSG00000223169.1	75865239	75865335	6	RNA5SP209
ENSG00000201954	ENSG00000201954.1	76260800	76260903	10	RNU6-673P
ENSG00000252751	ENSG00000252751.1	124407691	124407783	3	RNU6-143P
ENSG00000240823	ENSG00000240823.3	61444149	61444423	11	RN7SL23P
ENSG00000201260	ENSG00000201260.1	16207821	16207927	10	RNU6-1075P
ENSG00000216101	ENSG00000216101.3	30584332	30584417	6	MIR877
ENSG00000276048	ENSG00000276048.1	44937426	44937696	2	AC012354.5
ENSG00000207508	ENSG00000207508.1	40177843	40177949	1	RNU6-1237P
ENSG00000252622	ENSG00000252622.1	131126990	131127091	9	RNU6-881P
ENSG00000201557	ENSG00000201557.1	100972670	100972741	14	SNORD114-15
ENSG00000200041	ENSG00000200041.1	75181520	75181621	9	Y_RNA
ENSG00000252604	ENSG00000252604.1	154790291	154790484	4	RNU2-44P
ENSG00000278026	ENSG00000278026.1	181715185	181715293	3	AC117415.2
ENSG00000199377	ENSG00000199377.1	44721786	44721902	1	RNU5F-1
ENSG00000276183	ENSG00000276183.1	18418526	18418632	13	U6
ENSG00000222937	ENSG00000222937.1	138558970	138559039	5	SNORD63B
ENSG00000208014	ENSG00000208014.1	93482760	93482855	7	MIR653
ENSG00000276528	ENSG00000276528.1	27096124	27096248	7	AC004079.3
ENSG00000202272	ENSG00000202272.1	23782210	23782310	X	Y_RNA
ENSG00000223212	ENSG00000223212.1	141052249	141052409	7	RNU4-74P
ENSG00000274878	ENSG00000274878.1	50049591	50049663	13	AL137060.4
ENSG00000277066	ENSG00000277066.1	50045143	50045232	13	AL137060.7
ENSG00000207547	ENSG00000207547.1	100093560	100093643	7	MIR25
ENSG00000276696	ENSG00000276696.1	56634038	56634167	15	Y_RNA
ENSG00000252117	ENSG00000252117.1	44927600	44927703	15	RNU6-1108P
ENSG00000222616	ENSG00000222616.1	22861552	22861884	2	RN7SKP27
ENSG00000280704	ENSG00000280704.1	70846080	70846295	X	SNORD3E
ENSG00000277488	ENSG00000277488.1	37940704	37940790	17	5S_rRNA
ENSG00000252002	ENSG00000252002.1	9792751	9792861	4	RNA5SP154
ENSG00000251982	ENSG00000251982.1	217251556	217251875	2	RN7SKP43
ENSG00000275230	ENSG00000275230.1	62363581	62363864	9	RN7SL544P
ENSG00000216069	ENSG00000216069.1	99536786	99536861	8	MIR875
ENSG00000277184	ENSG00000277184.1	44985378	44985510	7	SNORA9
ENSG00000276645	ENSG00000276645.1	33029232	33029576	1	Metazoa_SRP
ENSG00000199880	ENSG00000199880.1	138123011	138123111	5	RNU6-888P
ENSG00000223174	ENSG00000223174.1	76890263	76890613	14	RN7SKP17
ENSG00000274760	ENSG00000274760.1	49279116	49279208	20	AL049766.1
ENSG00000229686	ENSG00000229686.1	2656624	2656694	20	SNORD56
ENSG00000223024	ENSG00000223024.1	18869185	18869291	13	RNU6-55P
ENSG00000276304	ENSG00000276304.1	139233414	139233520	3	AC119740.1
ENSG00000212612	ENSG00000212612.1	18978847	18978953	14	RNU6-1239P
ENSG00000264653	ENSG00000264653.1	130008334	130008453	8	MIR5194
ENSG00000222594	ENSG00000222594.1	145035132	145035436	4	RN7SKP235
ENSG00000207220	ENSG00000207220.1	113949917	113950082	X	RNU1-57P
ENSG00000277794	ENSG00000277794.1	40730981	40731253	13	Metazoa_SRP
ENSG00000222858	ENSG00000222858.1	29641611	29641702	17	RNU6-920P
ENSG00000206854	ENSG00000206854.1	60789560	60789661	13	RNY3P5
ENSG00000206612	ENSG00000206612.1	48656648	48656782	12	SNORA2A
ENSG00000239082	ENSG00000239082.1	121908103	121908163	12	RNU7-170P
ENSG00000243370	ENSG00000243370.3	17178414	17178749	17	RN7SL775P
ENSG00000272393	ENSG00000272393.1	133082829	133082932	7	RNU6-92P
ENSG00000199132	ENSG00000199132.1	134540341	134540431	X	MIR450A1
ENSG00000200889	ENSG00000200889.1	59537359	59537499	17	RNU4-13P
ENSG00000251887	ENSG00000251887.2	31832439	31832535	5	RNU6-760P
ENSG00000252005	ENSG00000252005.2	73883714	73883822	1	RNU4ATAC8P
ENSG00000278554	ENSG00000278554.1	73959642	73959927	3	Metazoa_SRP
ENSG00000201754	ENSG00000201754.1	31837076	31837142	6	SNORD52
ENSG00000264767	ENSG00000264767.2	38098414	38098700	20	RN7SL237P
ENSG00000201785	ENSG00000201785.1	31536374	31536449	6	SNORD117
ENSG00000207755	ENSG00000207755.3	134540508	134540607	X	MIR450A2
ENSG00000268154	ENSG00000268154.2	154950210	154950492	1	Metazoa_SRP
ENSG00000201780	ENSG00000201780.1	8484746	8484852	12	RNU6-275P
ENSG00000274424	ENSG00000274424.1	30405307	30405597	15	RN7SL196P
ENSG00000201185	ENSG00000201185.1	4427963	4428081	6	RNA5SP202
ENSG00000207116	ENSG00000207116.1	200830009	200830116	2	RNU6-31P
ENSG00000222733	ENSG00000222733.1	58527655	58527751	13	RNY4P29
ENSG00000207406	ENSG00000207406.1	206162228	206162359	2	SNORA41
ENSG00000208000	ENSG00000208000.1	147260532	147260625	X	MIR509-1
ENSG00000238590	ENSG00000238590.1	128443449	128443510	7	RNU7-54P
ENSG00000200049	ENSG00000200049.1	143309466	143309566	4	Y_RNA
ENSG00000207099	ENSG00000207099.1	65095749	65095855	12	RNU6-166P
ENSG00000280496	ENSG00000280496.1	136726104	136726239	9	SNORA17B
ENSG00000207419	ENSG00000207419.1	11709819	11709960	6	AL022724.1
ENSG00000252992	ENSG00000252992.1	117263799	117263952	11	AP000892.2
ENSG00000240639	ENSG00000240639.3	43222206	43222509	20	RN7SL666P
ENSG00000200213	ENSG00000200213.1	36066545	36066652	21	RNU6-992P
ENSG00000199580	ENSG00000199580.1	74983274	74983376	15	Y_RNA
ENSG00000207355	ENSG00000207355.1	24974171	24974280	20	RNU6-1257P
ENSG00000200619	ENSG00000200619.1	67268110	67268228	17	RNA5SP447
ENSG00000212293	ENSG00000212293.1	32420390	32420516	13	AL137247.1
ENSG00000243115	ENSG00000243115.3	12764761	12765055	9	RN7SL849P
ENSG00000252305	ENSG00000252305.1	14177131	14177310	17	SNORA74
ENSG00000199446	ENSG00000199446.1	63110139	63110246	10	RNU6-543P
ENSG00000202513	ENSG00000202513.1	72391964	72392069	10	RNU6-805P
ENSG00000207083	ENSG00000207083.1	69175671	69175777	16	RNU6-22P
ENSG00000285776	ENSG00000285776.1	69672479	69672597	X	AL158069.2
ENSG00000274852	ENSG00000274852.1	67175775	67176035	9	RN7SL422P
ENSG00000275219	ENSG00000275219.1	43296425	43296615	17	U2
ENSG00000251787	ENSG00000251787.1	142801207	142801268	3	RNU7-47P
ENSG00000273725	ENSG00000273725.1	9279532	9279816	11	Metazoa_SRP
ENSG00000273908	ENSG00000273908.1	32439716	32440009	11	AL049692.2
ENSG00000207256	ENSG00000207256.1	42991438	42991544	1	RNU6-880P
ENSG00000265885	ENSG00000265885.2	110097851	110098151	13	RN7SL783P
ENSG00000221044	ENSG00000221044.2	44025020	44025223	17	U3
ENSG00000252540	ENSG00000252540.1	49794811	49794914	20	RNU6-919P
ENSG00000201013	ENSG00000201013.1	233379843	233379955	2	Y_RNA
ENSG00000271765	ENSG00000271765.1	136545192	136545492	6	RN7SKP299
ENSG00000222610	ENSG00000222610.1	98889731	98889833	5	RNU6-402P
ENSG00000252301	ENSG00000252301.1	63545440	63545535	3	RNA5SP134
ENSG00000222429	ENSG00000222429.1	4619749	4619852	17	RNU6-955P
ENSG00000273541	ENSG00000273541.1	50104833	50105174	13	AL137060.1
ENSG00000252335	ENSG00000252335.1	95019235	95019336	13	RNU6-62P
ENSG00000277341	ENSG00000277341.1	37907957	37908063	17	RNU6-489P
ENSG00000238998	ENSG00000238998.1	112977353	112977420	11	RNU7-187P
ENSG00000239679	ENSG00000239679.3	43863274	43863549	4	RN7SL193P
ENSG00000253048	ENSG00000253048.1	42472875	42473009	19	RNU4-60P
ENSG00000200097	ENSG00000200097.1	35250959	35251052	10	RNU6-1167P
ENSG00000201308	ENSG00000201308.1	135656477	135656579	2	RNU6-512P
ENSG00000199735	ENSG00000199735.1	76656320	76656422	17	RNU6-227P
ENSG00000201035	ENSG00000201035.1	21113128	21113236	19	RNA5SP469
ENSG00000242650	ENSG00000242650.3	51716657	51716922	7	RN7SL292P
ENSG00000222983	ENSG00000222983.1	31228715	31228847	3	RNA5SP127
ENSG00000264317	ENSG00000264317.2	34421988	34422311	19	RN7SL154P
ENSG00000275108	ENSG00000275108.1	98987387	98987449	3	U7
ENSG00000201680	ENSG00000201680.1	31496689	31496790	6	Y_RNA
ENSG00000277512	ENSG00000277512.1	16441226	16441298	17	SNORD65
ENSG00000200471	ENSG00000200471.1	54621025	54621131	7	RNU6-1125P
ENSG00000222209	ENSG00000222209.1	118264372	118264489	1	RNA5SP56
ENSG00000278100	ENSG00000278100.1	14391875	14392196	10	Metazoa_SRP
ENSG00000201901	ENSG00000201901.1	85100496	85100823	4	RN7SKP48
ENSG00000206951	ENSG00000206951.1	32945339	32945451	2	Y_RNA
ENSG00000252746	ENSG00000252746.1	37187219	37187314	14	RNU6-273P
ENSG00000276609	ENSG00000276609.1	27200465	27200521	7	AC004080.9
ENSG00000212221	ENSG00000212221.1	143350172	143350278	8	RNU6-220P
ENSG00000266317	ENSG00000266317.2	181813401	181813702	3	RN7SL703P
ENSG00000253073	ENSG00000253073.1	83685866	83686018	5	RN7SKP295
ENSG00000241821	ENSG00000241821.3	56688401	56688695	20	RN7SL170P
ENSG00000212191	ENSG00000212191.1	178685886	178685956	4	AC017087.1
ENSG00000201372	ENSG00000201372.1	43473013	43473119	20	RNU6-1251P
ENSG00000253055	ENSG00000253055.1	35750061	35750175	16	RNA5SP415
ENSG00000222337	ENSG00000222337.1	99284022	99284373	9	RN7SKP225
ENSG00000277689	ENSG00000277689.1	63549374	63549463	1	AL109925.5
ENSG00000252395	ENSG00000252395.2	88414898	88415004	2	RNU6-1007P
ENSG00000199570	ENSG00000199570.1	14352320	14352425	20	RNU6-228P
ENSG00000272439	ENSG00000272439.1	99444306	99444412	14	RNU6-91P
ENSG00000277502	ENSG00000277502.1	206160843	206161024	2	AC007383.4
ENSG00000251940	ENSG00000251940.1	19249873	19249966	22	AC000081.2
ENSG00000206756	ENSG00000206756.1	74551392	74551493	10	Y_RNA
ENSG00000200807	ENSG00000200807.1	60384605	60384763	2	RNU1-32P
ENSG00000222232	ENSG00000222232.1	28683976	28684083	2	RNA5SP89
ENSG00000200250	ENSG00000200250.1	127316873	127316979	2	RNU6-1147P
ENSG00000244356	ENSG00000244356.3	33288304	33288601	10	RN7SL398P
ENSG00000252908	ENSG00000252908.1	17240611	17240715	5	RNU6-1003P
ENSG00000212175	ENSG00000212175.1	55565703	55565850	2	AC015982.1
ENSG00000207338	ENSG00000207338.1	123457988	123458094	7	RNU6-296P
ENSG00000265740	ENSG00000265740.2	171359117	171359412	5	RN7SL339P
ENSG00000277209	ENSG00000277209.1	20343075	20343407	14	RPPH1
ENSG00000202069	ENSG00000202069.1	71652474	71652611	6	RNU4-66P
ENSG00000231587	ENSG00000231587.1	131490486	131490571	9	SNORD62B
ENSG00000222078	ENSG00000222078.1	90001222	90001506	6	RN7SKP110
ENSG00000200556	ENSG00000200556.1	58496908	58497014	16	RNU6-103P
ENSG00000263742	ENSG00000263742.1	72072228	72072302	11	MIR3165
ENSG00000280263	ENSG00000280263.1	16486985	16488322	22	AC137499.2
ENSG00000264002	ENSG00000264002.2	9902344	9902627	21	RN7SL52P
ENSG00000240589	ENSG00000240589.3	44409059	44409358	17	RN7SL258P
ENSG00000239333	ENSG00000239333.3	16539137	16539439	X	RN7SL658P
ENSG00000199591	ENSG00000199591.1	47931808	47931914	3	Y_RNA
ENSG00000200874	ENSG00000200874.1	75513025	75513126	7	Y_RNA
ENSG00000252230	ENSG00000252230.1	34637696	34637781	19	AC020910.1
ENSG00000252166	ENSG00000252166.1	18116848	18117007	Y	RNU1-95P
ENSG00000276653	ENSG00000276653.1	25058032	25058329	2	RN7SL856P
ENSG00000212246	ENSG00000212246.1	208019638	208019741	2	RNU6-360P
ENSG00000207967	ENSG00000207967.1	116148560	116148654	12	MIR620
ENSG00000200040	ENSG00000200040.1	75928513	75928625	6	Y_RNA
ENSG00000239127	ENSG00000239127.1	29333163	29333258	22	SNORD125
ENSG00000201659	ENSG00000201659.1	47132671	47132826	X	RNU12-2P
ENSG00000277124	ENSG00000277124.1	96965489	96965695	7	AC004774.3
ENSG00000221083	ENSG00000221083.1	8511795	8511919	1	AL096855.1
ENSG00000276830	ENSG00000276830.1	12578957	12579023	1	MIR6730
ENSG00000207393	ENSG00000207393.1	218589214	218589320	2	RNU6-136P
ENSG00000264916	ENSG00000264916.2	179900262	179900564	1	RN7SL230P
ENSG00000202336	ENSG00000202336.1	68017710	68017817	16	RNU6-359P
ENSG00000278774	ENSG00000278774.1	43273101	43273292	17	U2
ENSG00000202402	ENSG00000202402.1	31244761	31244861	14	Y_RNA
ENSG00000263399	ENSG00000263399.1	98208524	98208600	13	MIR3170
ENSG00000206765	ENSG00000206765.1	133531723	133531826	X	RNU6-203P
ENSG00000202476	ENSG00000202476.1	30453997	30454097	16	Y_RNA
ENSG00000202025	ENSG00000202025.1	186311825	186311928	1	RNU6-1240P
ENSG00000201689	ENSG00000201689.1	100990091	100990160	14	SNORD114-29
ENSG00000283412	ENSG00000283412.1	87648489	87648549	11	U6
ENSG00000221028	ENSG00000221028.1	201808611	201808702	1	MIR1231
ENSG00000200913	ENSG00000200913.1	44776490	44776593	1	SNORD46
ENSG00000276891	ENSG00000276891.1	28387196	28387485	15	RN7SL238P
ENSG00000276493	ENSG00000276493.1	32087523	32087813	1	Metazoa_SRP
ENSG00000207451	ENSG00000207451.1	11226254	11226360	1	RNU6-291P
ENSG00000208004	ENSG00000208004.2	101056219	101056300	14	MIR323B
ENSG00000201140	ENSG00000201140.1	117197118	117197420	9	RN7SKP128
ENSG00000252483	ENSG00000252483.1	20894532	20894638	17	RNU6-1178P
ENSG00000251916	ENSG00000251916.1	32549940	32550090	6	RNU1-61P
ENSG00000252343	ENSG00000252343.1	182548659	182548779	4	RNU2-34P
ENSG00000266794	ENSG00000266794.2	92971002	92971299	7	RN7SL7P
ENSG00000265370	ENSG00000265370.1	119958513	119958592	10	MIR4682
ENSG00000222740	ENSG00000222740.1	126145474	126145582	10	RNA5SP328
ENSG00000202190	ENSG00000202190.1	60081741	60081854	10	Y_RNA
ENSG00000276522	ENSG00000276522.1	61427617	61427877	9	RN7SL462P
ENSG00000199535	ENSG00000199535.1	24640166	24640284	10	RNA5SP305
ENSG00000277841	ENSG00000277841.1	21513959	21514040	15	MIR5701-2
ENSG00000199911	ENSG00000199911.1	24910594	24910695	5	Y_RNA
ENSG00000239250	ENSG00000239250.3	71827177	71827471	3	RN7SL271P
ENSG00000207805	ENSG00000207805.3	2134134	2134209	11	MIR483
ENSG00000222659	ENSG00000222659.1	121580332	121580521	6	RNU2-8P
ENSG00000212371	ENSG00000212371.1	77466284	77466436	14	AF111168.1
ENSG00000222129	ENSG00000222129.1	94651397	94651529	13	RNA5SP36
ENSG00000275071	ENSG00000275071.1	55128285	55128444	13	AL139038.1
ENSG00000252155	ENSG00000252155.1	7378672	7378779	Y	RNU6-941P
ENSG00000265195	ENSG00000265195.1	68801850	68801925	15	MIR4312
ENSG00000199474	ENSG00000199474.1	12842487	12842610	16	AC092324.1
ENSG00000202078	ENSG00000202078.1	160326104	160326216	1	Y_RNA
ENSG00000201741	ENSG00000201741.1	17460444	17460522	17	Y_RNA
ENSG00000207713	ENSG00000207713.3	6963699	6963766	12	MIR200C
ENSG00000199512	ENSG00000199512.1	59341314	59341417	15	RNU6-212P
ENSG00000243260	ENSG00000243260.3	39761000	39761298	4	RN7SL558P
ENSG00000212157	ENSG00000212157.1	223976146	223976249	1	RNU6-1319P
ENSG00000253078	ENSG00000253078.1	37435510	37435608	2	RNU6-1116P
ENSG00000275109	ENSG00000275109.1	81611348	81611408	16	MIR6504
ENSG00000222467	ENSG00000222467.1	121603073	121603164	2	Y_RNA
ENSG00000273846	ENSG00000273846.1	21379382	21379701	22	Metazoa_SRP
ENSG00000222207	ENSG00000222207.1	35734639	35734748	16	RNA5SP407
ENSG00000206746	ENSG00000206746.1	62731226	62731332	18	RNU6-142P
ENSG00000207719	ENSG00000207719.1	99356131	99356228	13	MIR623
ENSG00000252989	ENSG00000252989.1	100646121	100646197	3	AC069223.1
ENSG00000199315	ENSG00000199315.1	97657464	97657582	11	RNA5SP347
ENSG00000274998	ENSG00000274998.1	136726747	136726879	9	SNORA17A
ENSG00000206891	ENSG00000206891.1	77811741	77811844	3	RNU6-217P
ENSG00000277478	ENSG00000277478.1	49510817	49510900	17	MIR6165
ENSG00000206964	ENSG00000206964.1	55286018	55286128	2	Y_RNA
ENSG00000242330	ENSG00000242330.3	71448689	71448958	14	RN7SL683P
ENSG00000277628	ENSG00000277628.1	109124357	109124609	2	Metazoa_SRP
ENSG00000202008	ENSG00000202008.1	201423513	201423604	2	Y_RNA
ENSG00000252512	ENSG00000252512.1	32078508	32078628	6	RNA5SP206
ENSG00000283346	ENSG00000283346.1	15134075	15134145	16	MIR6511B2
ENSG00000252333	ENSG00000252333.1	229937814	229937882	2	RNU6-964P
ENSG00000251961	ENSG00000251961.1	170891467	170891597	4	RNU6ATAC13P
ENSG00000207062	ENSG00000207062.1	65070538	65070672	7	SNORA15B-1
ENSG00000207736	ENSG00000207736.1	81125276	81125373	17	MIR657
ENSG00000201489	ENSG00000201489.1	7537096	7537196	17	Y_RNA
ENSG00000244399	ENSG00000244399.3	85442495	85442791	2	RN7SL251P
ENSG00000206807	ENSG00000206807.1	20507644	20507756	3	RNU6-815P
ENSG00000222238	ENSG00000222238.1	101307529	101307718	10	RNU2-43P
ENSG00000266307	ENSG00000266307.1	85306226	85306325	16	MIR5093
ENSG00000207782	ENSG00000207782.3	49500785	49500868	19	MIR150
ENSG00000264540	ENSG00000264540.2	44883986	44884274	17	RN7SL405P
ENSG00000212230	ENSG00000212230.1	243081156	243081259	1	RNU6-747P
ENSG00000275933	ENSG00000275933.1	120670127	120670376	1	7SK
ENSG00000222111	ENSG00000222111.1	175628188	175628462	5	RN7SKP148
ENSG00000212238	ENSG00000212238.1	129756266	129756377	7	RNA5SP244
ENSG00000207943	ENSG00000207943.1	66787072	66787168	17	MIR634
ENSG00000242113	ENSG00000242113.3	151372003	151372287	2	RN7SL124P
ENSG00000222357	ENSG00000222357.1	168475198	168475388	3	RNU2-20P
ENSG00000278617	ENSG00000278617.1	51206929	51207009	19	MIR8074
ENSG00000238804	ENSG00000238804.1	48956650	48956753	17	AC091133.2
ENSG00000212447	ENSG00000212447.1	122880213	122880323	9	SNORD90
ENSG00000207182	ENSG00000207182.1	146580048	146580210	4	RNU1-44P
ENSG00000266189	ENSG00000266189.1	81451104	81451188	17	MIR3186
ENSG00000240199	ENSG00000240199.3	75698531	75698816	16	RN7SL520P
ENSG00000243954	ENSG00000243954.3	8683254	8683551	16	RN7SL743P
ENSG00000252783	ENSG00000252783.1	87996345	87996448	14	RNU6-835P
ENSG00000216191	ENSG00000216191.1	50696172	50696262	2	MIR8485
ENSG00000212429	ENSG00000212429.1	80749561	80749693	8	RNU11-6P
ENSG00000207449	ENSG00000207449.1	65553081	65553187	15	RNU6-19P
ENSG00000207045	ENSG00000207045.1	96330638	96330744	7	RNU6-532P
ENSG00000207797	ENSG00000207797.1	35904818	35904926	18	MIR187
ENSG00000200227	ENSG00000200227.1	151477459	151477577	5	RNA5SP197
ENSG00000244376	ENSG00000244376.3	50429190	50429483	20	RN7SL636P
ENSG00000222303	ENSG00000222303.1	50649641	50649740	X	RNU6-935P
ENSG00000206732	ENSG00000206732.1	24676309	24676415	2	RNU6-936P
ENSG00000251877	ENSG00000251877.1	28410270	28410456	6	RNU2-45P
ENSG00000221782	ENSG00000221782.1	212426263	212426360	2	MIR548F2
ENSG00000283801	ENSG00000283801.1	71973	72110	19	MIR1302-11
ENSG00000222529	ENSG00000222529.1	118970498	118970595	11	Y_RNA
ENSG00000238390	ENSG00000238390.1	31664306	31664482	21	AP000254.1
ENSG00000252051	ENSG00000252051.1	229410500	229410767	1	RN7SKP276
ENSG00000252937	ENSG00000252937.1	73241789	73241896	3	RNU6-1270P
ENSG00000244671	ENSG00000244671.3	21722895	21723182	22	RN7SL280P
ENSG00000275842	ENSG00000275842.1	63919868	63919939	20	MIR941-5
ENSG00000206842	ENSG00000206842.1	22787393	22787499	10	RNU6-413P
ENSG00000264934	ENSG00000264934.1	109141490	109141588	2	MIR4265
ENSG00000275900	ENSG00000275900.1	26689316	26689529	18	U3
ENSG00000274004	ENSG00000274004.1	83386988	83387102	11	AP000446.2
ENSG00000252952	ENSG00000252952.1	23217432	23217534	13	RNU6-58P
ENSG00000276753	ENSG00000276753.1	49962866	49962939	22	MIR6821
ENSG00000212165	ENSG00000212165.2	16982831	16983033	20	U3
